Ticker,Company Name,Fill Date,Model Used,Headline,Highest Similarity Score,Similarity Evaluation,Risk Section Representative Segment
XOM,EXXON MOBIL CORP,2024-02-28T16:37:18-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5281988978385925,Medium,Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices or when national governments may have less need for outside sources of private capital.
XOM,EXXON MOBIL CORP,2023-02-22T16:37:14-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5109695792198181,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need for outside sources of private capital."
XOM,EXXON MOBIL CORP,2022-02-23T16:11:16-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2021-02-24T17:01:02-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2020-02-26T16:15:19-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2019-02-27T16:19:37-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2018-02-28T16:39:51-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2017-02-22T16:47:56-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2016-02-24T16:09:22-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2015-02-25T16:26:23-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2014-02-26T16:07:02-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2013-02-27T16:05:06-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2012-02-24T16:08:32-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2011-02-28T17:01:32-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2011-02-25T16:07:35-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2010-02-26T16:17:17-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.5087905526161194,Medium,"Restrictions on foreign investment in the oil and gas sector tend to increase in times of high commodity prices, when national governments may have less need of outside sources of private capital."
XOM,EXXON MOBIL CORP,2009-02-27T16:16:54-05:00,all-MiniLM-L6-v2,United States sanctions against Russia has caused rough economic conditions for the global oil industry.,0.483412504196167,Medium,"Oil, gas, petrochemical and product prices and margins in turn depend on local, regional and global events or conditions that affect supply and demand for the relevant commodity."
